role;idPer;idObra;
actor;10352;848;
actor;10353;1079;
actor;10353;1522;
actor;10353;2384;
actor;10353;3874;
actor;10353;476;
actor;10358;2878;
actor;1035;3659;
actor;10365;4528;
actor;10366;735;
actor;10367;2836;
actor;10369;646;
actor;1036;3782;
actor;10370;3659;
actor;10375;4069;
actor;10376;1157;
actor;10376;3005;
actor;10377;1336;
actor;10377;1947;
actor;10377;5016;
actor;10379;3960;
actor;10380;5013;
actor;10382;5070;
actor;10384;73;
actor;10385;4621;
actor;10386;1113;
actor;10386;3441;
actor;10388;2744;
actor;1038;3782;
actor;10390;1656;
actor;10392;81;
actor;10393;4850;
actor;10396;1148;
actor;1039;854;
actor;10400;218;
actor;10400;3202;
actor;10400;3275;
actor;10400;3957;
actor;10400;4631;
actor;10400;858;
actor;10404;2953;
actor;10405;2520;
actor;10405;4040;
actor;10405;4089;
actor;10407;4578;
actor;1040;2400;
actor;10411;2400;
actor;10414;2299;
actor;10415;3659;
actor;10416;5207;
actor;10417;2497;
actor;10417;3134;
actor;10419;5317;
actor;10420;5217;
actor;10423;1016;
actor;10423;139;
actor;10423;154;
actor;10423;205;
actor;10423;2138;
actor;10423;2260;
actor;10423;2417;
actor;10423;3808;
actor;10423;4015;
actor;10423;4208;
actor;10423;4233;
actor;10423;4717;
actor;10423;4909;
actor;10423;504;
actor;10424;833;
actor;10427;1468;
actor;10427;2823;
actor;10427;3553;
actor;10427;3862;
actor;10427;3963;
actor;10427;4255;
actor;10427;5371;
actor;10428;3223;
actor;10428;5634;
actor;10428;640;
actor;10429;1209;
actor;10430;2956;
actor;10431;1556;
actor;10432;5217;
actor;10433;1384;
actor;10434;2089;
actor;10434;573;
actor;10436;3058;
actor;1043;1201;
actor;10443;693;
actor;10444;11;
actor;10444;252;
actor;10444;3005;
actor;10444;3490;
actor;10444;3533;
actor;10444;3635;
actor;10444;3987;
actor;10445;11;
actor;10445;252;
actor;10445;4676;
actor;10445;5127;
actor;10445;583;
actor;10446;3141;
actor;10446;5463;
actor;10447;403;
actor;10448;4834;
actor;10449;1150;
actor;10449;517;
actor;10449;5402;
actor;10449;5506;
actor;10450;3148;
actor;10451;2875;
actor;10452;1372;
actor;10453;5217;
actor;10458;153;
actor;10458;4046;
actor;10459;3395;
actor;1045;1779;
actor;10461;5127;
actor;10462;758;
actor;10463;1204;
actor;10463;1362;
actor;10463;1482;
actor;10463;214;
actor;10463;4662;
actor;10463;481;
actor;10465;2911;
actor;10469;2871;
actor;1046;4620;
actor;10475;2610;
actor;10478;5219;
actor;1047;2597;
actor;10485;2996;
actor;10485;5659;
actor;10488;1219;
actor;1048;3620;
actor;10490;3230;
actor;10490;518;
actor;10491;3399;
actor;10497;3408;
actor;10497;5336;
actor;104;3229;
actor;104;3546;
actor;10503;104;
actor;10504;4440;
actor;1050;5217;
actor;10510;5409;
actor;10512;5070;
actor;10519;5216;
actor;10522;2413;
actor;10522;2693;
actor;10522;5070;
actor;10527;2452;
actor;10527;3731;
actor;10527;4814;
actor;10527;5479;
actor;10529;1931;
actor;10531;1219;
actor;10534;1848;
actor;10534;631;
actor;10536;2948;
actor;10537;2061;
actor;10537;4536;
actor;10537;4759;
actor;10538;5019;
actor;1053;4907;
actor;10540;1312;
actor;10540;1482;
actor;10540;192;
actor;10540;1953;
actor;10540;240;
actor;10540;2520;
actor;10540;2657;
actor;10540;2942;
actor;10540;2972;
actor;10540;3088;
actor;10540;3089;
actor;10540;3543;
actor;10540;3681;
actor;10540;3838;
actor;10540;3874;
actor;10540;3933;
actor;10540;4076;
actor;10540;4231;
actor;10540;4615;
actor;10540;4868;
actor;10540;5016;
actor;10540;5019;
actor;10540;5152;
actor;10540;5385;
actor;10540;548;
actor;10540;5536;
actor;10540;5654;
actor;10540;807;
actor;10544;876;
actor;10546;2822;
actor;10546;3725;
actor;10546;724;
actor;10549;3822;
actor;10549;5597;
actor;10551;4091;
actor;10552;1563;
actor;10555;3009;
actor;10557;5456;
actor;10560;3820;
actor;10565;278;
actor;10565;3307;
actor;10566;5394;
actor;10567;2771;
actor;10571;1050;
actor;10571;5601;
actor;10573;5241;
actor;10574;4938;
actor;10575;234;
actor;10575;5103;
actor;10576;1;
actor;10577;2996;
actor;10578;2877;
actor;10580;2990;
actor;10583;1972;
actor;10583;236;
actor;10583;3403;
actor;10583;4157;
actor;10583;556;
actor;10584;940;
actor;10588;2542;
actor;10590;5498;
actor;10591;1167;
actor;10592;5498;
actor;10593;5161;
actor;10595;4871;
actor;10596;4739;
actor;1059;4774;
actor;1059;561;
actor;10601;1157;
actor;10601;3008;
actor;10601;3569;
actor;10601;5610;
actor;10602;1113;
actor;10602;1420;
actor;10602;1497;
actor;10602;1664;
actor;10602;216;
actor;10602;2947;
actor;10602;4236;
actor;10602;4699;
actor;10602;808;
actor;10603;4250;
actor;10604;320;
actor;10605;5292;
actor;10606;5009;
actor;10611;2366;
actor;10611;2440;
actor;10611;3426;
actor;10611;3697;
actor;10611;3725;
actor;10611;4739;
actor;10611;812;
actor;10613;3762;
actor;10616;4774;
actor;10618;3522;
actor;1061;3195;
actor;1061;3969;
actor;10623;3524;
actor;10626;4772;
actor;10627;5018;
actor;10628;341;
actor;10629;2770;
actor;1062;1195;
actor;10630;34;
actor;10630;4352;
