series_years_ini;series_years_fin;idObra;
1975;1976;4261;
1999;????;4262;
1989;1990;4268;
1999;????;4455;
1991;????;4559;
1995;????;4568;
1990;1991;4572;
1979;????;4574;
1992;1993;4576;
1997;????;4579;
1992;1993;4580;
1995;????;4581;
1990;1991;4584;
1997;1998;4585;
1988;????;4583;
1992;1993;4586;
1992;????;4587;
1996;1997;4588;
1990;????;4590;
1992;1995;4591;
1979;????;4604;
1999;????;4592;
1995;????;4593;
1992;1998;4596;
1992;????;4597;
1985;????;4605;
1999;????;4563;
1991;????;4564;
1996;????;4565;
1996;????;4567;
1995;1996;4570;
1998;????;4603;
1982;????;4611;
1982;????;4614;
1986;????;4623;
1987;????;4624;
1976;1979;4628;
1990;2002;4630;
1996;????;4631;
1982;????;4633;
1995;????;4636;
1981;????;4637;
1996;????;4650;
1990;????;4660;
1982;????;4661;
1979;1982;4666;
1975;1976;4670;
1990;1991;4674;
1997;1999;4679;
1986;????;4684;
1989;????;4691;
1988;1992;4692;
1996;1997;4699;
1995;1996;4703;
1996;????;4701;
1996;????;4702;
1985;????;4708;
1993;????;4715;
1980;????;4717;
1992;1993;4711;
1986;????;4641;
1991;????;4652;
1988;????;4718;
1981;1984;4721;
1985;1986;4730;
1997;????;4731;
1997;????;4732;
1992;1993;4735;
1991;????;4737;
1998;2004;4738;
1999;2002;4739;
1999;????;4745;
1996;????;4753;
1992;????;4761;
1989;1990;4776;
1990;????;4777;
1992;????;4785;
1992;1993;4787;
1995;1996;4788;
1980;????;4797;
1994;????;4800;
1999;2000;4798;
1995;????;4802;
1986;????;4806;
1986;????;4808;
1995;2005;4818;
1999;2003;4820;
1996;1997;4824;
1995;????;4825;
1998;????;4826;
1994;????;4833;
1996;????;4838;
1994;????;4817;
1998;????;4821;
1995;????;4856;
1985;1988;4858;
1983;1985;4865;
1991;????;4875;
1984;????;4877;
1990;????;4885;
1995;????;4888;
1995;????;4889;
1998;????;4890;
1992;1993;4894;
1997;????;4897;
1994;????;4898;
1996;1997;4904;
1990;1991;4905;
1997;1998;4906;
1999;????;4907;
1998;????;4917;
1997;????;4919;
1997;1999;4921;
1996;????;4941;
1988;????;4942;
1983;????;4944;
1983;????;4951;
1996;????;4956;
1996;????;4955;
1989;1991;4957;
1996;1999;4960;
1999;????;4961;
1997;????;4967;
1989;????;4968;
1992;????;4974;
1990;1996;4979;
1981;1983;4982;
1993;????;4986;
1996;????;4991;
1978;1979;5002;
1997;????;5006;
1991;1993;5007;
1992;????;5008;
1992;2005;5009;
1984;????;5013;
1997;????;5015;
1977;????;4722;
1987;1989;4724;
1989;1990;4725;
1994;????;4861;
1990;????;4916;
1994;1997;4931;
1997;????;4934;
1992;1993;5004;
1994;1995;5023;
1984;1986;5025;
1990;????;5033;
1995;????;5034;
1996;????;5035;
1998;????;5031;
1988;1989;5036;
1992;1996;5037;
1975;????;5039;
1991;1992;5040;
1991;1992;5042;
1992;????;5046;
1997;????;5047;
1986;????;5050;
1990;????;5049;
1998;2001;5051;
1994;????;5052;
1998;????;5053;
1988;1989;5054;
1994;????;5062;
1983;????;5067;
1976;1978;5068;
1977;1981;5070;
1990;1992;5072;
1997;????;5073;
1994;????;5074;
1990;????;5075;
1984;????;5076;
1988;????;5077;
1990;2003;5078;
1990;????;5079;
1985;????;5081;
1986;????;5085;
1986;????;5088;
1991;????;5098;
1981;????;5099;
1984;????;5100;
1992;????;5102;
1976;????;5105;
1981;????;5112;
1994;1999;5118;
1987;????;5120;
1993;????;5124;
1994;????;5126;
1992;????;5127;
1997;1998;5133;
1999;????;5148;
1996;1997;5149;
1976;????;5152;
1978;1979;5154;
1994;????;5156;
1999;2000;5163;
1998;1999;5168;
1997;1998;5176;
1983;1987;5177;
1988;????;5182;
1999;????;5183;
