keyword;idObra;
action;163;
action;231;
action;311;
action;386;
action;447;
action;568;
action;576;
action;736;
action;773;
action;774;
action;797;
action;846;
action;957;
action;971;
action;998;
action;1138;
action;1142;
action;1154;
action;1157;
action;1203;
action;1325;
action;1361;
action;1396;
action;1825;
action;2008;
action;2076;
action;2157;
action;2212;
action;2311;
action;2502;
action;2580;
action;2595;
action;2612;
action;2691;
action;3044;
action;3078;
action;3127;
action;3189;
action;3281;
action;3305;
action;3327;
action;3363;
action;3399;
action;3498;
action;3590;
action;3636;
action;3690;
action;3945;
action;4069;
action;4130;
action;4361;
action;4405;
action;4476;
action;4522;
action;5120;
action;1153;
action;1226;
action;1278;
action;1279;
action;1280;
action;1281;
action;1283;
action;5133;
action;5168;
action;5287;
action;20;
action;109;
action;128;
action;397;
action;401;
action;73;
action;75;
action;99;
action;133;
action;135;
action;168;
action;216;
action;222;
action;233;
action;245;
action;254;
action;258;
action;267;
action;277;
action;297;
action;309;
action;330;
action;334;
action;335;
action;337;
action;341;
action;354;
action;363;
action;364;
action;372;
action;375;
action;382;
action;403;
action;406;
action;418;
action;427;
action;430;
action;453;
action;457;
action;466;
action;467;
action;476;
action;485;
action;510;
action;518;
action;532;
action;542;
action;544;
action;543;
action;551;
action;552;
action;555;
action;563;
action;564;
action;578;
action;582;
action;583;
action;587;
action;592;
action;595;
action;597;
action;598;
action;599;
action;610;
action;623;
action;622;
action;636;
action;638;
action;646;
action;647;
action;658;
action;672;
action;684;
action;681;
action;559;
action;693;
action;701;
action;730;
action;731;
action;733;
action;764;
action;776;
action;788;
action;791;
action;798;
action;796;
action;803;
action;805;
action;808;
action;811;
action;812;
action;787;
action;711;
action;713;
action;847;
action;858;
action;863;
action;866;
action;870;
action;874;
action;876;
action;878;
action;879;
action;881;
action;906;
action;944;
action;945;
action;955;
action;1006;
action;1030;
action;1041;
action;1050;
action;1057;
action;1064;
action;1081;
action;1097;
action;1125;
action;965;
action;966;
action;1143;
action;1150;
action;1160;
action;1163;
action;1181;
action;1205;
action;1225;
action;1236;
action;1317;
action;1320;
action;1332;
action;1329;
action;1330;
action;1333;
action;1336;
action;1360;
action;1363;
action;1380;
action;1412;
action;1416;
action;1420;
action;1443;
action;1457;
action;1459;
action;1463;
action;1473;
action;1480;
action;1487;
action;1387;
action;1505;
action;1517;
action;1519;
action;1550;
action;1551;
action;1540;
action;1590;
action;1603;
action;1614;
action;1629;
action;1630;
action;1632;
action;1634;
action;1656;
action;1393;
action;1394;
action;1708;
action;1709;
action;1719;
action;1724;
action;1728;
action;1734;
action;1744;
action;1769;
action;1783;
action;1786;
action;1784;
action;1788;
action;1790;
action;1789;
action;1792;
action;1805;
action;1768;
action;1831;
action;1837;
action;1844;
action;1851;
action;1871;
action;1874;
action;1875;
action;1880;
action;1882;
action;1888;
action;1890;
action;1895;
action;1896;
action;1901;
action;1912;
action;1915;
action;1931;
action;1952;
action;1424;
action;1929;
action;1961;
action;1962;
action;1972;
action;1982;
action;1990;
action;1995;
action;2000;
action;2016;
action;2025;
action;2034;
action;2042;
action;2055;
action;2064;
action;2084;
action;2096;
action;2099;
action;2101;
action;2105;
action;2117;
action;2139;
action;2143;
action;2152;
action;2203;
action;2207;
action;2211;
action;2220;
action;2234;
action;2238;
action;2245;
action;2273;
action;2278;
action;2298;
action;2303;
action;2306;
action;2313;
action;2319;
action;2321;
action;2322;
action;2374;
action;2377;
action;2394;
action;2397;
action;2399;
action;2409;
action;2411;
action;2412;
action;2414;
action;2426;
action;2419;
action;2440;
action;2452;
action;2453;
action;2477;
action;2483;
action;2493;
action;2499;
action;2509;
action;2515;
action;2524;
action;2540;
action;2564;
action;2574;
action;2582;
action;2590;
action;2597;
action;2601;
action;2609;
action;2610;
action;2613;
action;2617;
action;2645;
action;2647;
action;2649;
action;2662;
action;2677;
action;2694;
action;2703;
action;2705;
action;2710;
action;2717;
action;2719;
action;2730;
action;2739;
action;2754;
action;2760;
action;2764;
action;2768;
action;2772;
action;3291;
action;3308;
action;3309;
action;3514;
action;3668;
action;3463;
action;2806;
action;2810;
action;2817;
action;2826;
action;2827;
action;2837;
action;2844;
action;2852;
action;2853;
action;2874;
action;2898;
action;2923;
action;2934;
action;2935;
action;2938;
action;2943;
action;2946;
action;2945;
action;2950;
action;2951;
action;2965;
action;2970;
action;2973;
action;2975;
action;2998;
action;3001;
action;3015;
action;2792;
action;3028;
action;3031;
action;3033;
action;3049;
action;3053;
action;3055;
action;3056;
action;3073;
action;3075;
action;3082;
action;3088;
action;3110;
action;3121;
action;3129;
action;3153;
action;3184;
action;3204;
action;3207;
action;3224;
action;3225;
action;3244;
action;3271;
action;3276;
action;3241;
action;3289;
action;3303;
action;3320;
action;3322;
action;3326;
action;3335;
action;3351;
action;3352;
action;3355;
action;3356;
action;3362;
action;3367;
action;3369;
action;3391;
action;3394;
action;3395;
action;3396;
action;3400;
action;3406;
action;3412;
action;3416;
action;3417;
action;3421;
action;3439;
action;3445;
action;3461;
action;3464;
action;3471;
action;3476;
action;3479;
action;3491;
action;3524;
action;3525;
action;3540;
action;3553;
action;3554;
action;3586;
action;3591;
action;3618;
action;3619;
action;3628;
action;3633;
action;3640;
action;3642;
action;3643;
action;3658;
action;3660;
action;3676;
action;3679;
action;3687;
action;3684;
action;3715;
action;3716;
action;3726;
action;3739;
action;3740;
action;3744;
action;3748;
action;3755;
action;3776;
action;3781;
action;3799;
action;3804;
action;3803;
action;3806;
action;3809;
action;3823;
action;3824;
action;3842;
action;3847;
action;3865;
action;3870;
action;3903;
action;3905;
action;3928;
action;3938;
action;3955;
action;3959;
action;3965;
action;3991;
action;4014;
action;3788;
action;3826;
action;4025;
action;4038;
action;4049;
action;4051;
action;4090;
action;4179;
action;4194;
action;4214;
action;4215;
action;4221;
action;4228;
action;4243;
action;4246;
action;4297;
action;4340;
action;4350;
action;4360;
action;4365;
action;4366;
action;4374;
action;4378;
action;4380;
action;4394;
action;4393;
action;4410;
action;4427;
action;4448;
action;4459;
action;4472;
action;4484;
action;4493;
action;4498;
action;4508;
action;4528;
action;4530;
action;4548;
action;4575;
action;4571;
action;4609;
action;4622;
action;4647;
action;4668;
action;4673;
action;4685;
action;4693;
action;4705;
action;4729;
action;4743;
action;4747;
action;4801;
action;4807;
action;4830;
action;4834;
action;4844;
action;4863;
action;4883;
action;4896;
action;4900;
action;4908;
action;4913;
action;4915;
action;4918;
action;4922;
action;4932;
action;4964;
action;4973;
action;4984;
action;5003;
action;5012;
action;5017;
action;5019;
action;4792;
action;4901;
action;5028;
action;5030;
action;5041;
action;5048;
action;5044;
action;5063;
action;5071;
action;5094;
action;5107;
action;5108;
action;5113;
action;5121;
action;5125;
action;5128;
action;5130;
action;5131;
action;5134;
action;5135;
action;5136;
action;5137;
action;5139;
action;5142;
action;5143;
action;5146;
action;5150;
action;5158;
action;5164;
action;5166;
action;5174;
action;5193;
action;5208;
action;5218;
action;5220;
action;5233;
action;5237;
action;5247;
action;5280;
action;5282;
action;5283;
action;5292;
action;5296;
action;5302;
action;5315;
action;5323;
action;5327;
action;5335;
action;5342;
action;5348;
action;5354;
action;5363;
action;5373;
action;5383;
action;5425;
action;5434;
action;5436;
action;5457;
action;5461;
action;5513;
action;5520;
action;5523;
action;5524;
action;5525;
action;5547;
action;5556;
action;5588;
action;5465;
action;5509;
action;5602;
action;5606;
action;5607;
action;5608;
action;5631;
action;5643;
action;5645;
action;5650;
action;5660;
action;5662;
action;7;
action;11;
action;30;
action;32;
action;35;
action;1;
action;114;
